comment,network,quality,satisfaction
Great commentary and visuals!,Very Poor,480p,0.88
"Too much buffering, not enjoyable.",Very Poor,1080p,0.0
"Could be better, could be worse.",Excellent,360p,0.52
"Everything is perfect, thanks!",Very Poor,720p,0.85
The video quality is poor.,Very Poor,720p,0.25
"Everything is perfect, thanks!",Moderate,720p,0.93
"Everything is perfect, thanks!",Very Poor,480p,0.92
The video quality is poor.,Excellent,1080p,0.42
"Nothing special, just another game.",Very Poor,480p,0.55
Stream kept freezing every few minutes.,Poor,480p,0.37
Network is causing delays.,Very Poor,480p,0.16
Great commentary and visuals!,Excellent,720p,0.86
I’m having a blast watching this!,Poor,360p,0.87
"Loved the stream quality, keep it up!",Very Poor,360p,0.86
Mediocre experience.,Poor,480p,0.65
Audio was off sync. Please fix!,Very Poor,480p,0.29
"Everything is perfect, thanks!",Moderate,1080p,1.0
Audio was off sync. Please fix!,Poor,480p,0.0
I’m having a blast watching this!,Excellent,1080p,0.92
Amazing gameplay and no lag at all!,Good,1080p,0.93
I’m having a blast watching this!,Moderate,360p,0.79
"Everything is perfect, thanks!",Excellent,480p,0.94
"Nothing special, just another game.",Moderate,360p,0.74
I’m having a blast watching this!,Moderate,1080p,0.89
Amazing gameplay and no lag at all!,Excellent,1080p,0.95
Network is causing delays.,Good,720p,0.14
Great commentary and visuals!,Very Poor,720p,0.83
The video quality is poor.,Excellent,1080p,0.16
Stream kept freezing every few minutes.,Poor,360p,0.24
Network is causing delays.,Good,1080p,0.1
"Too much buffering, not enjoyable.",Very Poor,1080p,0.18
"Too much buffering, not enjoyable.",Moderate,720p,0.05
Great commentary and visuals!,Excellent,480p,0.77
"Everything is perfect, thanks!",Moderate,720p,0.96
I’m having a blast watching this!,Poor,1080p,0.92
I’m having a blast watching this!,Very Poor,1080p,0.93
Network is causing delays.,Poor,1080p,0.41
Network is causing delays.,Moderate,720p,0.31
Network is causing delays.,Very Poor,720p,0.1
Stream is okay.,Good,1080p,0.59
"Nothing special, just another game.",Excellent,1080p,0.74
Decent audio but poor video.,Moderate,480p,0.68
The video quality is poor.,Good,360p,0.12
The video quality is poor.,Poor,1080p,0.28
"Nothing special, just another game.",Good,480p,0.81
"Too much buffering, not enjoyable.",Moderate,360p,0.19
Audio was off sync. Please fix!,Excellent,1080p,0.24
The video quality is poor.,Poor,360p,0.39
Stream kept freezing every few minutes.,Good,720p,0.22
"Too much buffering, not enjoyable.",Good,360p,0.1
Great commentary and visuals!,Moderate,720p,0.98
Decent audio but poor video.,Poor,360p,0.74
Network is causing delays.,Moderate,1080p,0.32
I’m having a blast watching this!,Good,720p,0.8
I’m having a blast watching this!,Very Poor,360p,0.83
I’m having a blast watching this!,Poor,1080p,0.93
Stream kept freezing every few minutes.,Poor,720p,0.29
Audio was off sync. Please fix!,Moderate,720p,0.25
Network is causing delays.,Poor,360p,0.0
Amazing gameplay and no lag at all!,Good,480p,0.99
Audio was off sync. Please fix!,Good,360p,0.15
Decent audio but poor video.,Poor,360p,0.53
Audio was off sync. Please fix!,Very Poor,720p,0.02
Amazing gameplay and no lag at all!,Good,480p,0.95
Amazing gameplay and no lag at all!,Excellent,720p,0.78
Audio was off sync. Please fix!,Excellent,720p,0.38
"Nothing special, just another game.",Excellent,1080p,0.42
"Too much buffering, not enjoyable.",Poor,1080p,0.31
Audio was off sync. Please fix!,Excellent,720p,0.32
"Too much buffering, not enjoyable.",Moderate,360p,0.07
Stream is okay.,Excellent,720p,0.77
"Everything is perfect, thanks!",Excellent,720p,0.93
"Everything is perfect, thanks!",Very Poor,480p,0.79
"Loved the stream quality, keep it up!",Moderate,360p,0.77
Mediocre experience.,Poor,480p,0.76
The video quality is poor.,Good,1080p,0.27
Stream is okay.,Moderate,720p,0.52
Decent audio but poor video.,Excellent,720p,0.55
"Everything is perfect, thanks!",Excellent,480p,0.93
"Everything is perfect, thanks!",Poor,360p,0.98
"Nothing special, just another game.",Moderate,1080p,0.84
Amazing gameplay and no lag at all!,Poor,720p,0.97
Network is causing delays.,Excellent,1080p,0.23
Decent audio but poor video.,Good,360p,0.72
Amazing gameplay and no lag at all!,Good,1080p,0.87
I’m having a blast watching this!,Moderate,360p,0.9
Great commentary and visuals!,Poor,480p,0.97
Stream is okay.,Moderate,720p,0.48
"Everything is perfect, thanks!",Moderate,720p,1.0
Stream is okay.,Excellent,480p,0.61
The video quality is poor.,Moderate,720p,0.34
Audio was off sync. Please fix!,Very Poor,720p,0.23
Decent audio but poor video.,Poor,480p,0.41
Network is causing delays.,Good,720p,0.0
"Nothing special, just another game.",Good,1080p,0.4
Audio was off sync. Please fix!,Excellent,1080p,0.0
The video quality is poor.,Very Poor,480p,0.29
"Everything is perfect, thanks!",Moderate,480p,0.88
Great commentary and visuals!,Poor,1080p,0.86
The video quality is poor.,Excellent,720p,0.08
Great commentary and visuals!,Good,1080p,0.96
Audio was off sync. Please fix!,Good,480p,0.24
I’m having a blast watching this!,Poor,360p,0.79
Decent audio but poor video.,Moderate,480p,0.49
Mediocre experience.,Excellent,720p,0.53
"Everything is perfect, thanks!",Moderate,480p,0.86
Audio was off sync. Please fix!,Excellent,480p,0.35
Stream is okay.,Moderate,360p,0.47
Stream is okay.,Poor,1080p,0.45
Stream is okay.,Excellent,480p,0.55
I’m having a blast watching this!,Very Poor,1080p,0.82
Great commentary and visuals!,Poor,480p,0.96
"Everything is perfect, thanks!",Very Poor,480p,0.91
The video quality is poor.,Excellent,720p,0.08
"Nothing special, just another game.",Moderate,720p,0.81
Stream is okay.,Moderate,480p,0.54
I’m having a blast watching this!,Moderate,1080p,0.9
Stream kept freezing every few minutes.,Very Poor,480p,0.24
Decent audio but poor video.,Excellent,480p,0.57
Stream kept freezing every few minutes.,Good,720p,0.05
Network is causing delays.,Poor,360p,0.07
"Nothing special, just another game.",Good,720p,0.62
"Everything is perfect, thanks!",Moderate,480p,1.0
Stream kept freezing every few minutes.,Moderate,720p,0.34
Network is causing delays.,Moderate,1080p,0.24
Stream is okay.,Excellent,720p,0.88
Great commentary and visuals!,Poor,480p,0.92
"Everything is perfect, thanks!",Excellent,720p,1.0
Stream kept freezing every few minutes.,Good,480p,0.0
Audio was off sync. Please fix!,Excellent,480p,0.03
"Too much buffering, not enjoyable.",Excellent,360p,0.05
"Loved the stream quality, keep it up!",Excellent,720p,0.93
Network is causing delays.,Moderate,720p,0.26
The video quality is poor.,Very Poor,480p,0.06
Great commentary and visuals!,Good,480p,0.88
"Loved the stream quality, keep it up!",Moderate,1080p,1.0
"Loved the stream quality, keep it up!",Good,720p,0.98
"Loved the stream quality, keep it up!",Excellent,1080p,0.89
Great commentary and visuals!,Excellent,480p,0.98
"Loved the stream quality, keep it up!",Excellent,480p,0.81
Stream kept freezing every few minutes.,Moderate,480p,0.31
Amazing gameplay and no lag at all!,Excellent,480p,1.0
Stream is okay.,Very Poor,480p,0.62
The video quality is poor.,Very Poor,360p,0.13
Decent audio but poor video.,Excellent,360p,0.77
"Could be better, could be worse.",Poor,1080p,0.6
"Nothing special, just another game.",Poor,720p,0.56
"Too much buffering, not enjoyable.",Very Poor,480p,0.11
Mediocre experience.,Poor,360p,0.78
"Everything is perfect, thanks!",Very Poor,480p,0.94
Stream kept freezing every few minutes.,Excellent,1080p,0.38
Network is causing delays.,Excellent,720p,0.08
I’m having a blast watching this!,Excellent,720p,1.0
"Loved the stream quality, keep it up!",Poor,720p,0.88
The video quality is poor.,Moderate,720p,0.17
I’m having a blast watching this!,Excellent,480p,0.97
"Too much buffering, not enjoyable.",Good,360p,0.2
Network is causing delays.,Excellent,1080p,0.14
Decent audio but poor video.,Good,1080p,0.54
Amazing gameplay and no lag at all!,Moderate,480p,0.85
"Everything is perfect, thanks!",Poor,480p,0.98
Stream kept freezing every few minutes.,Moderate,1080p,0.37
I’m having a blast watching this!,Poor,360p,0.9
Network is causing delays.,Very Poor,720p,0.37
"Loved the stream quality, keep it up!",Excellent,480p,0.98
"Everything is perfect, thanks!",Very Poor,360p,0.99
The video quality is poor.,Very Poor,360p,0.42
I’m having a blast watching this!,Moderate,480p,0.94
"Everything is perfect, thanks!",Excellent,720p,1.0
"Loved the stream quality, keep it up!",Excellent,720p,0.94
Stream kept freezing every few minutes.,Very Poor,720p,0.34
Stream is okay.,Poor,480p,0.75
"Nothing special, just another game.",Moderate,1080p,0.59
Mediocre experience.,Good,1080p,0.57
Stream is okay.,Excellent,480p,0.76
Network is causing delays.,Good,720p,0.1
Stream kept freezing every few minutes.,Moderate,480p,0.26
Network is causing delays.,Excellent,720p,0.3
"Loved the stream quality, keep it up!",Good,1080p,0.83
Network is causing delays.,Good,1080p,0.09
Audio was off sync. Please fix!,Very Poor,720p,0.06
Stream kept freezing every few minutes.,Good,360p,0.1
Great commentary and visuals!,Poor,480p,0.92
"Nothing special, just another game.",Very Poor,720p,0.56
"Loved the stream quality, keep it up!",Excellent,480p,0.83
I’m having a blast watching this!,Moderate,720p,0.99
Audio was off sync. Please fix!,Good,1080p,0.06
Network is causing delays.,Good,360p,0.25
Great commentary and visuals!,Very Poor,360p,0.86
Audio was off sync. Please fix!,Very Poor,1080p,0.25
Great commentary and visuals!,Moderate,360p,0.94
Stream is okay.,Very Poor,720p,0.72
"Loved the stream quality, keep it up!",Moderate,1080p,0.86
Stream kept freezing every few minutes.,Good,1080p,0.06
"Everything is perfect, thanks!",Very Poor,720p,0.94
"Could be better, could be worse.",Good,720p,0.48
I’m having a blast watching this!,Poor,360p,0.96
Stream kept freezing every few minutes.,Excellent,480p,0.32
Network is causing delays.,Poor,1080p,0.0
Audio was off sync. Please fix!,Moderate,360p,0.16
Decent audio but poor video.,Good,480p,0.5
Great commentary and visuals!,Moderate,1080p,1.0
Stream is okay.,Good,360p,0.42
"Too much buffering, not enjoyable.",Moderate,360p,0.18
Stream kept freezing every few minutes.,Good,480p,0.1
Network is causing delays.,Excellent,720p,0.09
Decent audio but poor video.,Moderate,1080p,0.39
Mediocre experience.,Poor,720p,0.35
Network is causing delays.,Poor,480p,0.33
I’m having a blast watching this!,Excellent,360p,1.0
"Could be better, could be worse.",Moderate,720p,0.55
Stream kept freezing every few minutes.,Moderate,480p,0.34
Mediocre experience.,Good,1080p,0.61
"Too much buffering, not enjoyable.",Moderate,720p,0.13
Great commentary and visuals!,Very Poor,1080p,0.94
Audio was off sync. Please fix!,Very Poor,480p,0.27
Great commentary and visuals!,Good,480p,0.87
Decent audio but poor video.,Good,360p,0.45
"Everything is perfect, thanks!",Poor,360p,0.96
"Too much buffering, not enjoyable.",Poor,1080p,0.01
Great commentary and visuals!,Excellent,480p,0.82
Stream is okay.,Very Poor,360p,0.56
"Could be better, could be worse.",Very Poor,720p,0.42
"Everything is perfect, thanks!",Excellent,480p,0.9
Stream kept freezing every few minutes.,Excellent,480p,0.02
"Could be better, could be worse.",Poor,480p,0.77
"Everything is perfect, thanks!",Poor,720p,1.0
Stream is okay.,Very Poor,360p,0.55
Stream kept freezing every few minutes.,Moderate,360p,0.37
Decent audio but poor video.,Excellent,480p,0.77
Network is causing delays.,Poor,360p,0.31
The video quality is poor.,Poor,720p,0.41
"Everything is perfect, thanks!",Excellent,1080p,0.86
Audio was off sync. Please fix!,Moderate,720p,0.39
Network is causing delays.,Good,480p,0.18
Stream is okay.,Very Poor,720p,0.42
Network is causing delays.,Very Poor,480p,0.11
The video quality is poor.,Very Poor,480p,0.04
Stream kept freezing every few minutes.,Excellent,720p,0.41
I’m having a blast watching this!,Good,1080p,0.97
"Nothing special, just another game.",Excellent,480p,0.54
I’m having a blast watching this!,Good,360p,0.79
"Loved the stream quality, keep it up!",Good,720p,0.86
Amazing gameplay and no lag at all!,Good,360p,0.95
Amazing gameplay and no lag at all!,Very Poor,360p,0.89
"Nothing special, just another game.",Good,480p,0.64
"Loved the stream quality, keep it up!",Very Poor,360p,0.92
Stream is okay.,Very Poor,480p,0.78
"Everything is perfect, thanks!",Good,720p,0.85
"Loved the stream quality, keep it up!",Moderate,360p,1.0
I’m having a blast watching this!,Very Poor,720p,0.85
Stream kept freezing every few minutes.,Excellent,1080p,0.27
Network is causing delays.,Moderate,720p,0.22
The video quality is poor.,Very Poor,720p,0.1
Network is causing delays.,Excellent,1080p,0.1
Stream kept freezing every few minutes.,Good,720p,0.33
Amazing gameplay and no lag at all!,Good,360p,0.89
The video quality is poor.,Excellent,1080p,0.05
"Everything is perfect, thanks!",Very Poor,360p,0.81
The video quality is poor.,Poor,360p,0.24
"Loved the stream quality, keep it up!",Moderate,720p,0.86
Amazing gameplay and no lag at all!,Very Poor,1080p,0.96
"Could be better, could be worse.",Excellent,360p,0.56
Decent audio but poor video.,Moderate,480p,0.76
"Loved the stream quality, keep it up!",Moderate,720p,0.91
I’m having a blast watching this!,Good,1080p,1.0
"Everything is perfect, thanks!",Poor,720p,0.95
"Loved the stream quality, keep it up!",Poor,1080p,0.9
"Nothing special, just another game.",Moderate,1080p,0.76
Audio was off sync. Please fix!,Excellent,720p,0.04
Network is causing delays.,Very Poor,360p,0.2
Stream kept freezing every few minutes.,Very Poor,720p,0.25
Decent audio but poor video.,Poor,1080p,0.45
Amazing gameplay and no lag at all!,Excellent,480p,0.89
Network is causing delays.,Excellent,1080p,0.05
The video quality is poor.,Moderate,720p,0.09
"Nothing special, just another game.",Very Poor,1080p,0.49
"Everything is perfect, thanks!",Excellent,1080p,1.0
Great commentary and visuals!,Good,360p,0.94
Stream kept freezing every few minutes.,Good,360p,0.05
I’m having a blast watching this!,Good,1080p,0.86
"Everything is perfect, thanks!",Very Poor,360p,0.97
Great commentary and visuals!,Poor,480p,0.84
Network is causing delays.,Moderate,360p,0.26
"Loved the stream quality, keep it up!",Poor,1080p,0.96
I’m having a blast watching this!,Excellent,360p,0.97
Audio was off sync. Please fix!,Poor,1080p,0.3
Amazing gameplay and no lag at all!,Moderate,360p,0.94
Stream kept freezing every few minutes.,Good,480p,0.05
Network is causing delays.,Moderate,480p,0.25
